Fotograma,tipo_objeto,confianza,ID,x1,y1,x2,y2,Matricula,Confianza,mx1,my1,mx2,my2,texto_matricula
1979,car,0.77,1,1323,318,1399,378,Si,0,0,0,0,0,???
1979,person,0.76,2,31,247,193,504,No,,,,,,
1979,,0.75,3,8,370,222,546,Si,0,0,0,0,0,???
1979,car,0.69,4,1432,321,1513,382,Si,0,0,0,0,0,???
1980,,0.81,1,0,370,192,555,Si,0,0,0,0,0,???
1980,car,0.77,2,1322,318,1397,378,Si,0,0,0,0,0,???
1980,person,0.7,3,0,237,161,510,No,,,,,,
1980,car,0.69,4,1433,321,1513,382,Si,0,0,0,0,0,???
1981,car,0.76,1,1320,318,1394,376,Si,0,0,0,0,0,???
1981,person,0.74,2,0,234,137,503,No,,,,,,
1981,,0.7,3,0,380,166,549,Si,0,0,0,0,0,???
1981,car,0.69,4,1433,321,1512,382,Si,0,0,0,0,0,???
1981,car,0.61,5,1147,309,1207,353,Si,0,0,0,0,0,???
1982,person,0.77,1,0,235,101,505,No,,,,,,
1982,car,0.74,2,1318,317,1393,375,Si,0,0,0,0,0,???
1982,car,0.71,3,1432,321,1513,382,Si,0,0,0,0,0,???
1982,,0.66,4,0,420,134,547,Si,0,0,0,0,0,???
1983,car,0.74,1,1317,317,1390,375,Si,0,0,0,0,0,???
1983,car,0.7,2,1433,321,1512,382,Si,0,0,0,0,0,???
1983,,0.65,3,0,429,104,548,Si,0,0,0,0,0,???
1984,car,0.72,1,1315,317,1391,374,Si,0,0,0,0,0,???
1984,car,0.71,2,1433,322,1513,382,Si,0,0,0,0,0,???
1985,car,0.73,1,1313,318,1389,374,Si,0,0,0,0,0,???
1985,car,0.71,2,1433,321,1512,382,Si,0,0,0,0,0,???
1985,,0.62,3,0,440,38,560,Si,0,0,0,0,0,???
1985,car,0.62,4,1147,308,1206,354,Si,0,0,0,0,0,???
1986,car,0.73,1,1313,318,1389,375,Si,0,0,0,0,0,???
1986,car,0.71,2,1433,321,1513,382,Si,0,0,0,0,0,???
1986,car,0.63,3,1146,308,1206,354,Si,0,0,0,0,0,???
1987,car,0.73,1,1313,318,1389,374,Si,0,0,0,0,0,???
1987,car,0.71,2,1433,322,1513,382,Si,0,0,0,0,0,???
1987,car,0.61,3,1147,308,1205,354,Si,0,0,0,0,0,???
1988,car,0.74,1,1310,317,1388,374,Si,0,0,0,0,0,???
1988,car,0.71,2,1433,321,1513,382,Si,0,0,0,0,0,???
1988,car,0.64,3,1147,308,1206,355,Si,0,0,0,0,0,???
1989,car,0.74,1,1308,317,1387,372,Si,0,0,0,0,0,???
1989,car,0.71,2,1432,321,1512,382,Si,0,0,0,0,0,???
1989,car,0.62,3,1147,308,1205,355,Si,0,0,0,0,0,???
1990,car,0.72,1,1305,317,1384,371,Si,0,0,0,0,0,???
1990,car,0.72,2,1432,321,1513,382,Si,0,0,0,0,0,???
1990,car,0.65,3,1147,309,1206,355,Si,0,0,0,0,0,???
1991,car,0.71,1,1306,318,1384,370,Si,0,0,0,0,0,???
